Batch 0 Loss:	0.42219430208206177
Batch 0 Time:	0.13187393347422283 minutes
Batch 100 Loss:	38.28575478494167
Batch 100 Time:	1.6484341820081074 minutes
Batch 200 Loss:	40.295484349131584
Batch 200 Time:	1.6469790856043498 minutes
Batch 300 Loss:	45.807398557662964
Batch 300 Time:	1.6507160067558289 minutes
Batch 400 Loss:	33.15520264953375
Batch 400 Time:	1.6485513687133788 minutes
Batch 500 Loss:	34.49549728631973
Batch 500 Time:	1.6485405007998148 minutes
Batch 600 Loss:	31.54803468286991
Batch 600 Time:	1.6338571508725483 minutes
Batch 700 Loss:	31.215498760342598
Batch 700 Time:	1.6517412304878234 minutes
Batch 800 Loss:	30.790469763800502
Batch 800 Time:	1.646362574895223 minutes
Batch 900 Loss:	30.699568767100573
Batch 900 Time:	1.6486912727355958 minutes
Batch 1000 Loss:	32.37011074181646
Batch 1000 Time:	1.6363020698229471 minutes
Batch 1100 Loss:	30.160353262908757
Batch 1100 Time:	1.649042022228241 minutes
Batch 1200 Loss:	34.273455649614334
Batch 1200 Time:	1.6450153470039368 minutes
Batch 1300 Loss:	31.011312291026115
Batch 1300 Time:	1.6580361406008401 minutes
Batch 1400 Loss:	28.940465793013573
Batch 1400 Time:	1.6452975749969483 minutes
Batch 1500 Loss:	37.15101358667016
Batch 1500 Time:	1.6440241773923239 minutes
Batch 1600 Loss:	31.748288568109274
Batch 1600 Time:	1.6477746685345969 minutes
Batch 1700 Loss:	30.887514151632786
Batch 1700 Time:	1.6467074950536091 minutes
Batch 1800 Loss:	27.152039609849453
Batch 1800 Time:	1.6443888386090597 minutes
Batch 1900 Loss:	31.20765072107315
Batch 1900 Time:	1.6496042966842652 minutes
Batch 2000 Loss:	29.702455945312977
Batch 2000 Time:	1.639321247736613 minutes
Batch 2100 Loss:	30.095448706299067
Batch 2100 Time:	1.646544051170349 minutes
Batch 2200 Loss:	26.252167152240872
Batch 2200 Time:	1.6485705892244975 minutes
Batch 2300 Loss:	28.610263345763087
Batch 2300 Time:	1.6456510821978252 minutes
Batch 2400 Loss:	28.956466302275658
Batch 2400 Time:	1.636869736512502 minutes
Batch 2500 Loss:	25.502452744171023
Batch 2500 Time:	1.6467940251032511 minutes
Batch 2600 Loss:	31.291314125061035
Batch 2600 Time:	1.6337735374768576 minutes
Batch 2700 Loss:	29.514218788594007
Batch 2700 Time:	1.6343588709831238 minutes
Batch 2800 Loss:	28.44529378786683
Batch 2800 Time:	1.6453360080718995 minutes
Batch 2900 Loss:	29.369867764413357
Batch 2900 Time:	1.640643040339152 minutes
Batch 3000 Loss:	31.589133670553565
Batch 3000 Time:	1.6327653050422668 minutes
Batch 3100 Loss:	26.549795389175415
Batch 3100 Time:	1.6478870511054993 minutes
Batch 3200 Loss:	28.197171868756413
Batch 3200 Time:	1.6339350978533427 minutes
Batch 3300 Loss:	26.833545798435807
Batch 3300 Time:	1.6506181557973225 minutes
Batch 3400 Loss:	29.922396382316947
Batch 3400 Time:	1.6322405417760213 minutes
Batch 3500 Loss:	31.55909075587988
Batch 3500 Time:	1.6330605387687682 minutes
Batch 3600 Loss:	23.735943388193846
Batch 3600 Time:	1.6493187506993612 minutes
Batch 3700 Loss:	27.235055891796947
Batch 3700 Time:	1.6475300629933676 minutes
Batch 3800 Loss:	29.546323508024216
Batch 3800 Time:	1.6381678581237793 minutes
Batch 3900 Loss:	30.146018996834755
