Batch,Training Loss,Testing Loss,Learning Rate
0,47.15436100959778,47.15436100959778,0.01
100,34.50096587091684,39.82190787792206,0.01
200,31.504637748003006,39.7499680519104,0.01
300,32.511790581047535,38.009873032569885,0.01
400,34.02184248715639,7.971242815256119,0.01
500,34.07054563611746,39.49280083179474,0.01
600,31.306914247572422,15.66341370344162,0.01
700,29.796371698379517,30.67813515663147,0.01
800,33.248411901295185,8.306216448545456,0.01
900,30.541296608746052,-0.0,0.01
1000,32.99861112982035,33.247414231300354,0.01
1100,31.717774488031864,14.64730054140091,0.01
1200,31.83801645040512,39.384451508522034,0.01
1300,28.18593094497919,30.34123182296753,0.01
1400,28.66656704246998,39.99238610267639,0.01
1500,33.428020507097244,23.569363355636597,0.01
1600,31.79453280568123,54.044151306152344,0.01
1700,28.881226427853107,7.3542483150959015,0.01
1800,30.630776524543762,47.20284640789032,0.01
1900,26.903169222176075,32.84027874469757,0.01
2000,29.234641298651695,47.39411175251007,0.01
2100,30.18709947913885,24.055399000644684,0.01
2200,35.27641040086746,79.77447509765625,0.01
2300,28.618622578680515,39.687079191207886,0.01
2400,33.126815497875214,40.97454845905304,0.01
2500,29.464180015027523,45.224422216415405,0.01
2600,31.939515233039856,23.64858239889145,0.01
2700,29.46681670844555,50.556546449661255,0.01
2800,30.492027401924133,53.39948534965515,0.01
2900,29.212328672409058,33.1626296043396,0.01
3000,30.369493395090103,23.717010021209717,0.01
3100,30.301675356924534,15.731708705425262,0.01
3200,26.3066263794899,7.5208500027656555,0.01
3300,29.941375344991684,16.522249579429626,0.01
3400,33.42043940722942,55.305349826812744,0.01
3500,30.790420971810818,48.0586051940918,0.01
3600,30.254319682717323,30.967122316360474,0.01
3700,31.474460668861866,15.821060538291931,0.01
3800,30.435082606971264,16.059093177318573,0.01
3900,30.790614187717438,8.705858141183853,0.01
4000,30.485997207462788,40.86466729640961,0.01
4100,33.63888639956713,24.263465404510498,0.01
4200,30.58761817216873,26.15092396736145,0.01
4300,27.39421758800745,-0.0,0.01
4400,30.384343214333057,32.22094476222992,0.01
4500,30.969996705651283,24.122178554534912,0.01
4600,32.9815189242363,9.340990334749222,0.01
4700,33.782689176499844,38.44130039215088,0.01
4800,31.11258764564991,31.370487809181213,0.01
4900,28.093332566320896,16.556206345558167,0.01
5000,29.918293558061123,16.103778779506683,0.01
5100,30.57042647153139,33.12518000602722,0.01
5200,30.563745893537998,-0.0,0.01
5300,29.294606864452362,32.435497641563416,0.01
5400,29.971505492925644,52.73159742355347,0.01
5500,31.31373807042837,31.895947456359863,0.01
5600,30.805444665253162,69.40702199935913,0.01
5700,30.15699502080679,55.73989152908325,0.01
5800,30.999894224107265,40.74913263320923,0.01
5900,32.30232574790716,23.59790951013565,0.01
6000,30.084589801728725,49.741971492767334,0.01
6100,31.443771921098232,7.581305503845215,0.01
6200,26.469107948243618,29.712527990341187,0.01
6300,32.742657981812954,31.864124536514282,0.01
6400,30.289219446480274,47.46533930301666,0.01
6500,32.25100710242987,24.35649484395981,0.01
6600,32.169192895293236,23.56390357017517,0.01
6700,29.067210160195827,15.153631567955017,0.01
6800,32.18128216266632,61.6111159324646,0.01
6900,34.64841917157173,16.307130455970764,0.01
7000,31.960184544324875,30.45653998851776,0.01
7100,32.88911148905754,15.173378586769104,0.01
7200,26.644439928233624,23.29493761062622,0.01
7300,31.451806254684925,15.58362990617752,0.01
7400,29.502681404352188,32.382240891456604,0.01
7500,29.585257336497307,39.17423486709595,0.01
7600,33.23236917704344,8.168140053749084,0.01
7700,29.755358062684536,31.767749786376953,0.01
7800,32.763030864298344,24.24255758523941,0.01
