,Name,+/-,Folds,Score,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
0,YEL054C YMR197C,0.0,NA,7.918897471353298e-15,325,3249,1,0,0.09118881118881118,0.09093452714045887,1.0,0.9996923076923077,0.0003076923076923077
1,YMR305C YPL061W,0.0,NA,4.785383244179653e-13,325,3248,2,0,0.09146853146853147,0.09095997760985167,1.0,0.9993846153846154,0.0006153846153846154
2,YMR146C YHR104W,0.0,NA,1.0954499026633036e-12,325,3247,3,0,0.09174825174825176,0.09098544232922733,1.0,0.9990769230769231,0.0009230769230769231
3,YBR162C YMR290C,0.0,NA,1.2568237466384358e-12,325,3246,4,0,0.09202797202797203,0.09101092131055727,1.0,0.9987692307692307,0.0012307692307692308
4,YMR053C YDR365C,0.0,NA,2.538398744672543e-12,325,3245,5,0,0.09230769230769231,0.09103641456582633,1.0,0.9984615384615385,0.0015384615384615385
5,YLR344W YLR061W,0.0,NA,2.5804831361997405e-12,325,3244,6,0,0.09258741258741258,0.09106192210703279,1.0,0.9981538461538462,0.0018461538461538461
6,YOR341W YDR091C,0.0,NA,2.7581084117989096e-12,325,3243,7,0,0.09286713286713287,0.09108744394618834,1.0,0.9978461538461538,0.0021538461538461538
7,YOL128C YKR038C,0.0,NA,1.5164505068332446e-11,325,3242,8,0,0.09314685314685314,0.0911129800953182,1.0,0.9975384615384615,0.0024615384615384616
8,YIL040W YIL053W,0.0,NA,1.677971997460226e-11,325,3241,9,0,0.09342657342657343,0.09113853056646103,1.0,0.9972307692307693,0.002769230769230769
9,YGR019W YGR123C,0.0,NA,1.9426463909733016e-11,325,3240,10,0,0.0937062937062937,0.091164095371669,1.0,0.9969230769230769,0.003076923076923077
10,YPL268W YER142C,0.0,NA,2.1278820719339286e-11,325,3239,11,0,0.09398601398601399,0.09118967452300786,1.0,0.9966153846153846,0.003384615384615385
11,YBR001C YHR203C,0.0,NA,3.890470931522394e-11,325,3238,12,0,0.09426573426573427,0.09121526803255683,1.0,0.9963076923076923,0.0036923076923076922
12,YBR065C YOR360C,0.0,NA,8.310054033788816e-11,325,3237,13,0,0.09454545454545454,0.09124087591240876,1.0,0.996,0.004
13,YOR134W YOR287C,0.0,NA,1.0469727862449929e-10,325,3236,14,0,0.09482517482517483,0.09126649817467003,1.0,0.9956923076923077,0.0043076923076923075
14,YLR344W YMR170C,0.0,NA,1.2636008905886342e-10,325,3235,15,0,0.0951048951048951,0.09129213483146068,1.0,0.9953846153846154,0.004615384615384616
15,YBR280C YOR116C,0.0,NA,1.9573087595148309e-10,325,3234,16,0,0.09538461538461539,0.09131778589491431,1.0,0.9950769230769231,0.004923076923076923
16,YMR053C YAL023C,0.0,NA,2.1636939462332805e-10,325,3233,17,0,0.09566433566433566,0.09134345137717818,1.0,0.9947692307692307,0.005230769230769231
17,YPR062W YOR168W,0.0,NA,2.917716901418288e-10,325,3232,18,0,0.09594405594405594,0.09136913129041327,1.0,0.9944615384615385,0.005538461538461538
