Used Modern Datasets
Initialized Expression Datasets
Initialized Localization Data
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/Modern_phys_gene/Original_glpx_b_466x25000x53_lr0.01_batch50_Train_/
./Yeast Resources/Pairwise/Spell/Modern_phys_gene/Original_glpx_b_466x25000x53_lr0.01_batch50_Test_/
100 Batch Cumulative Loss: 50.473570823669434
Time for 100 Batches: 0.014275880654652913
100 Batch Cumulative Loss: 40.03575150296092
Time for 100 Batches: 1.436302387714386
100 Batch Cumulative Loss: 36.96661060908809
Time for 100 Batches: 1.444212539990743
100 Batch Cumulative Loss: 39.04038145253435
Time for 100 Batches: 1.4593742767969766
100 Batch Cumulative Loss: 40.38347134646028
Time for 100 Batches: 1.4550591627756755
100 Batch Cumulative Loss: 33.40544259920716
Time for 100 Batches: 1.450727140903473
100 Batch Cumulative Loss: 38.62391463993117
Time for 100 Batches: 1.464999222755432
100 Batch Cumulative Loss: 32.76231165463105
Time for 100 Batches: 1.4485980550448099
100 Batch Cumulative Loss: 34.3496940843761
Time for 100 Batches: 1.4694846908251444
100 Batch Cumulative Loss: 33.43110522803545
Time for 100 Batches: 1.4410947839419046
100 Batch Cumulative Loss: 35.19421460200101
Time for 100 Batches: 1.4550052841504415
100 Batch Cumulative Loss: 29.961339677291107
Time for 100 Batches: 1.4405786156654359
100 Batch Cumulative Loss: 31.0912552170048
Time for 100 Batches: 1.4610177040100099
100 Batch Cumulative Loss: 33.328799168029946
Time for 100 Batches: 1.4555295785268147
100 Batch Cumulative Loss: 32.20900455210358
Time for 100 Batches: 1.4475523670514425
100 Batch Cumulative Loss: 27.449979095683375
Time for 100 Batches: 1.4667303045590718
100 Batch Cumulative Loss: 32.08962655257881
Time for 100 Batches: 1.4525518099466959
100 Batch Cumulative Loss: 31.463758448517183
Time for 100 Batches: 1.4603845596313476
100 Batch Cumulative Loss: 28.672715291380882
Time for 100 Batches: 1.4608452955881754
100 Batch Cumulative Loss: 34.28496625064872
Time for 100 Batches: 1.4587509552637736
100 Batch Cumulative Loss: 27.849342707778987
Time for 100 Batches: 1.4466758569081624
100 Batch Cumulative Loss: 31.43708556331694
Time for 100 Batches: 1.4784041126569112
100 Batch Cumulative Loss: 27.40723875394906
Time for 100 Batches: 1.470728059609731
100 Batch Cumulative Loss: 26.46166871767491
Time for 100 Batches: 1.44946631193161
100 Batch Cumulative Loss: 31.09535864906502
Time for 100 Batches: 1.4363205432891846
100 Batch Cumulative Loss: 24.854784204624593
Time for 100 Batches: 1.4653584996859232
100 Batch Cumulative Loss: 32.40022635299101
Time for 100 Batches: 1.4508836388587951
100 Batch Cumulative Loss: 28.781217289084452
Time for 100 Batches: 1.465010118484497
100 Batch Cumulative Loss: 29.110209152975585
Time for 100 Batches: 1.450317136446635
100 Batch Cumulative Loss: 23.943322991854075
Time for 100 Batches: 1.455031148592631
100 Batch Cumulative Loss: 25.997285349061713
Time for 100 Batches: 1.4582400759061178
100 Batch Cumulative Loss: 22.26244531780071
Time for 100 Batches: 1.4637182871500651
100 Batch Cumulative Loss: 24.96636269800365
Time for 100 Batches: 1.4682066162427267
100 Batch Cumulative Loss: 23.73800802125774
Time for 100 Batches: 1.4461225549379984
100 Batch Cumulative Loss: 26.781619235232938
Time for 100 Batches: 1.4361512700716654
100 Batch Cumulative Loss: 23.75306662917137
Time for 100 Batches: 1.4517671306928
100 Batch Cumulative Loss: 23.70758818050672
Time for 100 Batches: 1.4661045352617899
100 Batch Cumulative Loss: 23.286236204206944
Time for 100 Batches: 1.4468265851338704
100 Batch Cumulative Loss: 27.05494521954097
Time for 100 Batches: 1.4720929423967997
100 Batch Cumulative Loss: 27.4066224405542
Time for 100 Batches: 1.4673518498738607
100 Batch Cumulative Loss: 21.97321601148724
Time for 100 Batches: 1.4564947485923767
100 Batch Cumulative Loss: 25.38861264823936
Time for 100 Batches: 1.4571680029233296
100 Batch Cumulative Loss: 21.465895143337548
Time for 100 Batches: 1.4736510872840882
100 Batch Cumulative Loss: 22.5330476075178
Time for 100 Batches: 1.4561791221300762
100 Batch Cumulative Loss: 23.62465497816447
Time for 100 Batches: 1.4683217485745748
100 Batch Cumulative Loss: 24.053211510181427
Time for 100 Batches: 1.462119420369466
100 Batch Cumulative Loss: 25.890586459077895
Time for 100 Batches: 1.4327985525131226
100 Batch Cumulative Loss: 25.038094795309007
Time for 100 Batches: 1.4528372446695963
100 Batch Cumulative Loss: 24.81512403022498
Time for 100 Batches: 1.4469958027203877
100 Batch Cumulative Loss: 25.077438597590117
Time for 100 Batches: 1.462687091032664
100 Batch Cumulative Loss: 20.18407318275422
Time for 100 Batches: 1.468746825059255
100 Batch Cumulative Loss: 21.12640001717955
Time for 100 Batches: 1.4463676452636718
100 Batch Cumulative Loss: 18.416927477821446
Time for 100 Batches: 1.4512468059857686
100 Batch Cumulative Loss: 21.732705929374788
Time for 100 Batches: 1.4714572469393412
100 Batch Cumulative Loss: 23.33220192696899
Time for 100 Batches: 1.4590160489082336
100 Batch Cumulative Loss: 19.402702944818884
Time for 100 Batches: 1.4615151445070902
100 Batch Cumulative Loss: 23.271858035004698
Time for 100 Batches: 1.4701069116592407
100 Batch Cumulative Loss: 19.620840935967863
Time for 100 Batches: 1.4525920867919921
100 Batch Cumulative Loss: 22.04485956931967
Time for 100 Batches: 1.447264798482259
100 Batch Cumulative Loss: 20.769906281202566
Time for 100 Batches: 1.4547777016957602
100 Batch Cumulative Loss: 20.90858909767121
Time for 100 Batches: 1.444419268767039
100 Batch Cumulative Loss: 21.707930248056073
Time for 100 Batches: 1.4408242464065553
100 Batch Cumulative Loss: 20.683067698410014
Time for 100 Batches: 1.4528854807217917
100 Batch Cumulative Loss: 19.18611898928657
Time for 100 Batches: 1.455551302433014
100 Batch Cumulative Loss: 25.54496579710394
Time for 100 Batches: 1.4443376104036967
100 Batch Cumulative Loss: 17.556542828292322
Time for 100 Batches: 1.4553375840187073
100 Batch Cumulative Loss: 18.68472701171413
Time for 100 Batches: 1.4561585028966268
100 Batch Cumulative Loss: 18.475609970861115
Time for 100 Batches: 1.4499620954195658
100 Batch Cumulative Loss: 19.909157321118983
Time for 100 Batches: 1.444375467300415
100 Batch Cumulative Loss: 18.283138612285256
Time for 100 Batches: 1.4438027103741964
100 Batch Cumulative Loss: 17.75264572710148
Time for 100 Batches: 1.4504180788993835
100 Batch Cumulative Loss: 23.086658583430108
Time for 100 Batches: 1.4597178419431052
100 Batch Cumulative Loss: 16.289694883002085
Time for 100 Batches: 1.4390198469161988
100 Batch Cumulative Loss: 19.426287160720676
Time for 100 Batches: 1.4491081396738688
100 Batch Cumulative Loss: 19.95779145177221
Time for 100 Batches: 1.461719234784444
100 Batch Cumulative Loss: 18.660860340867657
Time for 100 Batches: 1.4401443481445313
100 Batch Cumulative Loss: 19.3952823728323
Time for 100 Batches: 1.4621886730194091
100 Batch Cumulative Loss: 19.350281736580655
Time for 100 Batches: 1.4393819332122804
100 Batch Cumulative Loss: 18.752825987816323
Time for 100 Batches: 1.4676774859428405
100 Batch Cumulative Loss: 21.40276468889533
Time for 100 Batches: 1.4412242452303567
100 Batch Cumulative Loss: 19.186579624773003
Time for 100 Batches: 1.4419491688410442
100 Batch Cumulative Loss: 19.2361332323635
Time for 100 Batches: 1.4560560226440429
100 Batch Cumulative Loss: 18.78435731306672
Time for 100 Batches: 1.4405555287996927
100 Batch Cumulative Loss: 20.787182488536928
Time for 100 Batches: 1.4598462899525961
