Used 2009 Datasets
Initialized Expression Datasets
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/Test_MemMap_ReCalc2/ReCalc_NoReg_x_b_113x2000x53_lr0.01_batch50_Train_/
./Yeast Resources/Pairwise/Spell/Test_MemMap_ReCalc2/ReCalc_NoReg_x_b_113x2000x53_lr0.01_batch50_Test_/
100 Batch Cumulative Loss: 44.51507329940796
Time for 100 Batches: 0.006061343351999918
100 Batch Cumulative Loss: 19.934852705001827
Time for 100 Batches: 0.5876481493314107
100 Batch Cumulative Loss: 20.094264864921563
Time for 100 Batches: 0.5811381379763285
100 Batch Cumulative Loss: 17.30519497871398
Time for 100 Batches: 0.5754599173863729
100 Batch Cumulative Loss: 22.146321573257445
Time for 100 Batches: 0.5725334326426188
100 Batch Cumulative Loss: 17.206854262351996
Time for 100 Batches: 0.5761034727096558
100 Batch Cumulative Loss: 16.798757448196405
Time for 100 Batches: 0.5681498567263286
100 Batch Cumulative Loss: 17.58672852039338
Time for 100 Batches: 0.5695016940434774
100 Batch Cumulative Loss: 18.985589432716367
Time for 100 Batches: 0.578095813592275
100 Batch Cumulative Loss: 18.007970705032342
Time for 100 Batches: 0.5794627825419109
100 Batch Cumulative Loss: 18.394183301925658
Time for 100 Batches: 0.5754469792048137
100 Batch Cumulative Loss: 18.300377898216247
Time for 100 Batches: 0.5773667852083842
100 Batch Cumulative Loss: 18.35934826850892
Time for 100 Batches: 0.57311585744222
100 Batch Cumulative Loss: 17.78071630954742
Time for 100 Batches: 0.5780969182650249
100 Batch Cumulative Loss: 18.31707887649537
Time for 100 Batches: 0.5781197508176168
100 Batch Cumulative Loss: 17.56823527336121
Time for 100 Batches: 0.5782923420270284
100 Batch Cumulative Loss: 18.553555259704584
Time for 100 Batches: 0.5742024938265483
100 Batch Cumulative Loss: 17.081972050666813
Time for 100 Batches: 0.5747322996457418
100 Batch Cumulative Loss: 16.79393320560455
Time for 100 Batches: 0.5790852785110474
100 Batch Cumulative Loss: 17.840897407531735
Time for 100 Batches: 0.5789832909901936
100 Batch Cumulative Loss: 19.23804553985595
Time for 100 Batches: 0.5755931774775187
100 Batch Cumulative Loss: 18.720096073150632
Time for 100 Batches: 0.5742287993431091
100 Batch Cumulative Loss: 17.649920401573183
Time for 100 Batches: 0.5736949841181437
100 Batch Cumulative Loss: 15.299338455200198
Time for 100 Batches: 0.5797151645024617
100 Batch Cumulative Loss: 20.83116971254349
Time for 100 Batches: 0.5760528326034546
100 Batch Cumulative Loss: 17.106135559082038
Time for 100 Batches: 0.5782592137654622
100 Batch Cumulative Loss: 18.240752239227287
Time for 100 Batches: 0.573515788714091
100 Batch Cumulative Loss: 19.89398468971252
Time for 100 Batches: 0.5764939546585083
100 Batch Cumulative Loss: 19.39270233631133
Time for 100 Batches: 0.5765828529993693
100 Batch Cumulative Loss: 20.570549330711366
Time for 100 Batches: 0.5845651984214782
100 Batch Cumulative Loss: 16.705378251075746
Time for 100 Batches: 0.5772809346516927
100 Batch Cumulative Loss: 18.89351456165314
Time for 100 Batches: 0.5780843496322632
100 Batch Cumulative Loss: 17.546871590614316
Time for 100 Batches: 0.5745060841242472
100 Batch Cumulative Loss: 18.232813873291015
Time for 100 Batches: 0.5758109410603841
100 Batch Cumulative Loss: 22.776940388679506
Time for 100 Batches: 0.5776225248972575
100 Batch Cumulative Loss: 17.744711809158325
Time for 100 Batches: 0.576890230178833
100 Batch Cumulative Loss: 19.228849172592163
Time for 100 Batches: 0.5734112699826558
100 Batch Cumulative Loss: 18.190338912010198
Time for 100 Batches: 0.5806158701578776
100 Batch Cumulative Loss: 20.52795459747315
Time for 100 Batches: 0.5735348025957744
100 Batch Cumulative Loss: 21.606634197235095
Time for 100 Batches: 0.5731360673904419
100 Batch Cumulative Loss: 18.708691587448126
Time for 100 Batches: 0.5763190786043803
100 Batch Cumulative Loss: 19.34911428451538
Time for 100 Batches: 0.5798771142959595
100 Batch Cumulative Loss: 18.21860946178436
Time for 100 Batches: 0.5740837732950846
100 Batch Cumulative Loss: 18.042112951278693
Time for 100 Batches: 0.5722729841868083
100 Batch Cumulative Loss: 17.67591285228729
Time for 100 Batches: 0.5770634730656942
100 Batch Cumulative Loss: 16.275581612586976
Time for 100 Batches: 0.5741064389546712
100 Batch Cumulative Loss: 19.41308306217194
Time for 100 Batches: 0.5769716024398803
100 Batch Cumulative Loss: 18.608488149642938
Time for 100 Batches: 0.579519780476888
100 Batch Cumulative Loss: 19.531375741958612
Time for 100 Batches: 0.5757296800613403
100 Batch Cumulative Loss: 17.55680480003357
Time for 100 Batches: 0.5749947587649028
100 Batch Cumulative Loss: 18.44626197814942
Time for 100 Batches: 0.5726276437441508
100 Batch Cumulative Loss: 18.606090736389156
Time for 100 Batches: 0.5775951027870179
100 Batch Cumulative Loss: 18.836055612564095
Time for 100 Batches: 0.5750643769900005
100 Batch Cumulative Loss: 17.537827248573308
Time for 100 Batches: 0.5769272367159526
100 Batch Cumulative Loss: 19.080216817855824
Time for 100 Batches: 0.5764071385065714
100 Batch Cumulative Loss: 18.994486279487617
Time for 100 Batches: 0.5780875007311503
100 Batch Cumulative Loss: 20.250751457214346
Time for 100 Batches: 0.5761874000231425
100 Batch Cumulative Loss: 19.294555554389955
Time for 100 Batches: 0.5801449696222941
100 Batch Cumulative Loss: 16.51132744312286
Time for 100 Batches: 0.5750776171684265
100 Batch Cumulative Loss: 17.14687351226807
Time for 100 Batches: 0.5780242562294007
100 Batch Cumulative Loss: 16.87833038330079
Time for 100 Batches: 0.5758109251658122
100 Batch Cumulative Loss: 17.25665281295776
Time for 100 Batches: 0.571434211730957
100 Batch Cumulative Loss: 21.464466791152965
Time for 100 Batches: 0.5784679730733235
100 Batch Cumulative Loss: 19.955731477737423
Time for 100 Batches: 0.5741972327232361
100 Batch Cumulative Loss: 18.307025847435
Time for 100 Batches: 0.5790812095006307
100 Batch Cumulative Loss: 18.298574209213253
Time for 100 Batches: 0.5781517267227173
100 Batch Cumulative Loss: 18.971606702804575
Time for 100 Batches: 0.5772867202758789
100 Batch Cumulative Loss: 19.42866043090821
Time for 100 Batches: 0.5785748481750488
100 Batch Cumulative Loss: 18.268173046112054
Time for 100 Batches: 0.5735707322756449
100 Batch Cumulative Loss: 18.811411647796636
Time for 100 Batches: 0.5740439772605896
100 Batch Cumulative Loss: 17.188544607162473
Time for 100 Batches: 0.574079406261444
100 Batch Cumulative Loss: 17.790374765396116
Time for 100 Batches: 0.5755465706189473
100 Batch Cumulative Loss: 21.063198709487914
Time for 100 Batches: 0.5755136132240295
100 Batch Cumulative Loss: 19.292967081069943
Time for 100 Batches: 0.5742981831232706
100 Batch Cumulative Loss: 16.607898688316347
Time for 100 Batches: 0.5858279585838317
100 Batch Cumulative Loss: 17.45703178405762
Time for 100 Batches: 0.5729934930801391
100 Batch Cumulative Loss: 19.039290695190438
Time for 100 Batches: 0.5769906679789225
100 Batch Cumulative Loss: 16.810127415657043
Time for 100 Batches: 0.573933748404185
100 Batch Cumulative Loss: 17.54163471698761
Time for 100 Batches: 0.5750750184059144
100 Batch Cumulative Loss: 19.769710907936098
Time for 100 Batches: 0.5721039772033691
100 Batch Cumulative Loss: 17.1278798866272
Time for 100 Batches: 0.5792636315027873
100 Batch Cumulative Loss: 20.845536804199217
Time for 100 Batches: 0.5781606833140055
100 Batch Cumulative Loss: 18.724806022644046
Time for 100 Batches: 0.5728296677271525
100 Batch Cumulative Loss: 19.387772312164294
